,-3,-1,0
20,-0.017714680883548363,-0.010466174574128356,-0.00864030514239216
22,0.0,-0.00495533911919581,-0.006025791942427682
25,-0.034488081212296,-0.00864827525163591,-0.011136618815747472
27,0.0,-0.0070942249557506085,-0.004289371095923168
30,-0.11040182029533756,-0.03077391693391266,-0.03299660210569363
32,-0.02689225162237775,-0.02637074443864082,-0.02808267598931624
35,-0.1103883962211956,-0.029655230500043064,-0.03150636183035807
37,0.0,-0.03689539918442821,-0.014421132044086996
40,-0.08986761924867721,-0.022995685419484473,-0.024296210328551816
42,0.0,-0.0333025604267162,-0.009027823024513255
45,-0.023478857417998978,-0.008754666024635909,-0.029550880750336673
47,-0.005997000000000001,-0.022405455809206415,-0.007219045652265649
50,-0.04013095486305333,-0.022276335399054038,-0.027843098331496025
52,-0.10297,-0.02834353627368164,-0.08088526889760222
55,-0.2820226695478754,-0.21298056465956294,-0.19884824492742567
57,-0.3247885573855727,-0.40471808135598697,-0.40757712214915764
terminal,0.0,0.0,0.0
23,-0.005997000000000001,-0.008072222656780806,-0.014323217220078803
26,-0.168639290968918,-0.048323986170300266,-0.048359659032353716
28,-0.026884295003072784,-0.04042708425602712,-0.027715810911931975
31,-0.05385933943493899,-0.020638571635634453,-0.031435548885707876
33,0.0,-0.031428481422637176,-0.004019879773
36,-0.017712475622234727,-0.020024888990798403,-0.02071834797021814
38,-0.011982011997,-0.022820111513594456,-0.014632542772117807
41,-0.03519935038774701,-0.02475604454989673,-0.026609722565483506
43,-0.011903100230747749,-0.02888400220110803,-0.01003323670899283
48,-0.05770646378476261,-0.03369141664642981,-0.03385608327450848
51,-0.029106613779066995,-0.10951580474243323,-0.02068461723820224
53,-0.10204547610808201,-0.11873806970788738,-0.13840231070717102
56,-0.4519737789770607,-0.3982945595624965,-0.40964082642166916
58,-0.44328716002188684,-0.5807525684731901,-0.5021443932250658
61,-0.2219614913404028,-0.296074421763319,-0.21833333486040013
29,-0.026384736104159714,-0.026238405958367704,-0.017768630334927
34,-0.07241364321500443,-0.033369981827734076,-0.035758545165821796
39,-0.09905689667655806,-0.03751163248122011,-0.03937625616930651
44,-0.08933831407232327,-0.036028685549218765,-0.038430875122266644
46,-0.005979081729000002,-0.024300867657488224,-0.029427348325922708
54,-0.1724325456142376,-0.1250659020680421,-0.15012330297400392
59,-0.31442222559899713,-0.38947767845071735,-0.30230216717909014
60,-0.21309187083901474,-0.29438247514644245,-0.302829263102821
49,-0.10240033131847319,-0.1136420043559773,0.027803263393617
24,-0.01475732913919581,-0.0033426885347436893,-0.005970000000000001
63,-0.106899978,-0.1019682199,-0.1039678309
62,-0.21921463499345423,-0.20255782929930105,-0.19897949799999998
64,-0.1173971342586771,-0.10001791,-0.20001000000000002
66,-0.1,-0.0038701000000000004,-0.10099000000000001
65,-0.0030000000000000005,-0.001,-0.00300601
69,-0.005970000000000001,-0.1,-0.1
68,-0.10297,-0.1,-0.10099000000000001
71,-0.1,0.0,-0.001
74,0.0,0.0,0.0
67,-0.1,-0.00204373,0.0
70,0.0,0.0,0.0
